"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","l"
"1",7,6,3.90909090909091,-1,4,6,2.63636363636364,6,4,5,5.09090909090909,-2,7,7,9.63636363636364,23,6,7,23.9090909090909,31,6,3,13,7,3,5,2.81818181818182,-3,7,5,17.5454545454545,19,0,0,11,0,0,0,8,0,0,0,3,0,5,5,0.0467862363636364,-0.0307617,6,6,0.730779454545455,0.00341800000000003,6,2,0.546564272727273,0.00341800000000003,8,5,2.07386363636364,2.0625,6,5,2.75568181818182,3.1875,4,3,1.55681818181818,-1.9375,"HandClosing"
"2",7,6,3.90909090909091,-5,4,6,2.90909090909091,2,5,5,6.72727272727273,4,8,6,8.63636363636364,-10,5,5,22.6363636363636,38,6,3,14.8181818181818,14,2,5,2.36363636363636,11,7,6,17.6363636363636,21,0,0,11,0,0,0,8,0,0,0,3,0,5,6,0.0462979545454545,-0.0244141,6,7,0.733842272727273,-0.00976600000000005,6,1,0.543900909090909,-0.035645,7,7,2.44886363636364,3.9375,6,5,2.55681818181818,-3.4375,3,4,1.625,1.8125,"HandClosing"
"3",8,7,3.27272727272727,-10,4,5,2.81818181818182,-6,4,5,7.63636363636364,-14,6,5,9.45454545454546,-34,6,6,22.0909090909091,-10,4,3,19.7272727272727,39,4,5,2.72727272727273,8,8,5,17.0909090909091,65,0,0,11,0,0,0,8,0,0,0,3,0,5,4,0.0446555454545455,-0.0053711,7,6,0.737659727272727,0.018555,5,4,0.540793636363636,-0.014161,8,8,2.43181818181818,-1.8125,6,5,2.63636363636364,1.9375,3,3,1.63068181818182,-0.5,"HandClosing"
"4",7,6,2.81818181818182,-5,4,4,2.72727272727273,1,4,3,8.27272727272727,35,5,5,11.1818181818182,30,6,7,28,-54,4,4,22.3636363636364,46,5,4,3.45454545454545,-1,9,6,13,3,0,0,11,0,0,0,8,0,0,0,3,0,4,4,0.0421253636363636,0.00634760000000001,6,5,0.740767,0.0180669999999999,5,6,0.536354636363636,-0.0180670000000001,7,8,2.31818181818182,-0.25,6,5,2.51704545454545,3.25,5,5,1.78977272727273,-2,"HandClosing"
"5",6,6,2.54545454545455,-6,5,3,3.09090909090909,3,5,6,7.09090909090909,-13,5,4,12.9090909090909,-19,7,5,25.8181818181818,35,4,4,18,-3,5,4,3.72727272727273,3,9,6,12.7272727272727,-2,0,0,11,0,0,0,8,0,0,0,3,0,4,5,0.0356445272727273,-0.0219727,6,5,0.740988909090909,-0.0317390000000001,5,4,0.535067272727273,0.00146500000000005,6,7,1.84659090909091,0.625,6,5,2.54545454545455,-1.75,5,2,1.94318181818182,1.9375,"HandClosing"
"6",5,4,2.54545454545455,-1,4,3,3.18181818181818,-7,5,4,6.72727272727273,-11,5,4,14.1818181818182,-19,6,5,23.5454545454545,-54,4,3,14.1818181818182,-6,6,4,3.72727272727273,1,9,7,19.1818181818182,55,0,0,11,0,0,0,8,0,0,0,3,0,4,6,0.0355557454545455,0.00244140000000001,7,5,0.739390909090909,0.0209969999999999,6,4,0.535111727272727,-0.00537100000000001,6,7,1.72159090909091,-2.625,7,5,2.92045454545455,-3.1875,5,4,1.60795454545455,0.75,"HandClosing"
"7",4,5,3.54545454545455,-10,5,1,2.54545454545455,5,6,7,5.81818181818182,-10,6,5,16.1818181818182,-35,6,4,21.6363636363636,-18,6,5,20.4545454545455,-28,6,5,4.18181818181818,-10,8,7,17,-50,0,0,11,0,0,0,8,0,0,0,3,0,5,5,0.0361772,-0.0175781,6,7,0.741743636363636,0.028809,7,4,0.533691272727273,-0.00390599999999997,6,5,1.50568181818182,-4.125,6,5,2.96590909090909,3.6875,7,5,1.36931818181818,-2.625,"HandClosing"
"8",5,5,3.27272727272727,5,3,3,3,6,6,7,6.54545454545455,17,7,5,15.4545454545455,28,5,4,24.5454545454545,16,5,6,21.2727272727273,-1,4,6,4.18181818181818,-5,7,3,15.0909090909091,-23,0,0,11,0,0,0,8,0,0,0,3,0,5,6,0.0316495,-0.0131836,6,5,0.742986545454545,0.019531,7,4,0.534179636363636,-0.00292899999999996,7,6,1.21022727272727,-0.6875,7,6,2.64204545454545,0.25,5,3,1.5,-1,"HandClosing"
"9",6,4,3.09090909090909,5,4,3,2.90909090909091,-3,5,7,8.09090909090909,-31,8,4,13,-30,6,4,17.0909090909091,9,6,5,20.9090909090909,-16,5,7,3.36363636363636,5,6,5,15.3636363636364,-22,0,0,11,0,0,0,8,0,0,0,3,0,4,7,0.0283647,-0.0307617,8,5,0.742897727272727,-0.00781299999999996,6,3,0.533869,-0.00683599999999995,5,6,0.903409090909091,-0.9375,6,5,2.6875,-4.4375,5,4,1.64772727272727,-0.0625,"HandClosing"
"10",6,4,3.27272727272727,0,4,5,2.45454545454545,-2,5,7,8.72727272727273,21,8,3,10,37,5,5,20.7272727272727,-10,5,6,21,-19,5,7,3.45454545454545,-11,6,7,17,-30,0,0,11,0,0,0,8,0,0,0,3,0,6,8,0.0268110818181818,0.00244139999999999,8,5,0.740678181818182,0.016602,5,3,0.531161272727273,-0.01709,6,6,1,0.1875,7,8,3.01136363636364,-0.4375,3,3,1.46590909090909,2,"HandClosing"
